source_id,ra,dec,parallax,parallax_error,b,ruwe,bp_rp,phot_bp_rp_excess_factor,pf,epoch_g,int_average_g,int_average_g_error
4778216198441570816,70.37848719436816,-52.277000404409286,0.2786333271670706,0.012527781,-40.775654168903806,1.0906856,0.5963259,1.1926919,0.5486938401475465,1724.743947603968,13.576406,0.023737147
4784246087709903872,70.51367673415352,-51.559807673465734,0.4766162920711074,0.013193216,-40.782200850206316,1.2325201,0.6270685,1.1937774,0.7320847664530692,1724.098456190927,12.006853,0.009803832
4423520928509728512,237.6797275300599,2.4643027651988327,0.3686951230175926,0.018486021,40.564974308689315,1.4672663,0.7505522,1.1941168,0.6470784403950891,1711.6360572240092,13.001217,0.004776653
4427105439491336320,233.73045389623084,3.1541184638897395,0.3003658543077073,0.018221403,44.19202632678948,1.2090756,0.6370859,1.1973134,0.596435562926719,1710.5710273465625,13.030976,0.0050136982
905055201038874624,125.92082289693734,37.46954778992999,0.5482117300417895,0.023679357,33.64785059383591,0.90862036,0.47883415,1.1900604,0.4948277619678433,1716.4942870254026,11.336991,0.004607246
910431881620195200,131.52933635551892,38.04791015209571,0.25702940085617976,0.016703822,38.11769058624126,1.0244704,0.6416054,1.1853261,0.6251451310341928,1716.9627896257557,13.345819,0.0023541118
6591208755501548672,327.33248709399874,-34.205388415765064,0.40432847458401266,0.017462458,-50.53289167259777,1.1119616,0.5705261,1.206856,0.6154424099781471,1723.481949982549,12.281084,0.007819012
6641299653404693248,299.60288319282427,-54.514527504929944,0.521451858937188,0.016921181,-31.34069758656398,1.2192277,0.6687689,1.2251891,0.5684203648774249,1710.0562551994783,11.850162,0.014552468
1315066832249489664,242.0172284579605,24.98894753987102,0.25507772216098373,0.0190683,46.06901502494862,1.8089054,0.58847237,1.20409,0.47573242650667813,1716.8532488527,13.65852,0.0017901335
1316138031452908032,242.87184165487457,28.10728444552677,0.4441314735193024,0.05169865,45.99689344731886,1.0188144,1.0918427,1.2379708,0.4990334865425981,1718.073828399844,16.854628,0.0056119747
1316840138346618880,241.59065167160597,28.117716829096814,0.2638545734151604,0.013550598,47.108792963987206,1.2270725,0.6241169,1.1522864,0.9291556116677682,1716.75131714254,12.66355,0.0031578094
